总数 18103
172 被虫咬了的花朵——缺瓣
173 扛着牌坊卖肉——架子不小
174 在黄连树下弹琴——苦中作乐
175 坟地改菜园儿——拉平
176 笨牛扑蟋蟀——无从下蹄爪
177 鸡抱鸭子——干忙活
178 葫芦瓢——里虚
179 三钱买个头绳——随便
180 丝瓜打老婆——装腔作势
181 山头上吹喇叭——名声远扬
182 济公当和尚——不吃素
183 猫儿头上寄干鱼——靠不住
184 孙猴子进庙——装神
185 看见蚊子拔宝剑——小题大做
186 嗓子眼里吞面杖——直出直入
187 脱了旧鞋换新鞋——改邪归正
188 属臭豆腐的——闻着臭，吃着香
189 千人大合唱——异口同声
190 大船载太阳——勉强度日
191 蚯蚓戴草帽——土里土气
192 丈二高的门槛——难进
193 吃了萤火虫——肚里明
194 山沟里的田鸡——目光短浅
195 拜孔夫子只学了他搬家——一味书
196 秤砣秤杆——相离不远
197 飞机上吊邮筒——高兴
198 百岁养儿子——得之不易
199 徐庶进曹营——一言不发
200 包公铡皇亲——法不容人
201 孔雀戴凤冠——官上加官
202 冷水发面——没多大长劲
203 土地庙上开窗——神气通天
204 大海里的水——到哪都嫌
205 孙悟空的毛——个个是猴
206 死胡同里赶大车——行不通
207 水缸里的鱼——跑不了
208 火烧辣椒——呛死人
209 老母猪坐轿——抬的不应该
210 马笼头给牛戴——生搬硬套
211 胳膊往里拐——只顾自己
212 脚踏两只船——两头不牢靠
213 石灰点眼——自找难看
214 网兜包猪娃——露出了蹄爪
215 老猴儿偷苞米——专找嫩的捏
216 暗地里耍拳——瞎打一气
217 雪地里的萝卜——冻了心
218 啄木鸟打洞——全凭嘴硬
219 烂泥里摇桩——越摇越深
220 等天上掉馅饼——坐享其成
221 鸭子开会——无鸡之谈
222 掉进了死胡同——钻不出来
223 做梦挖元宝——想偏心
224 麻雀儿抬轿——担当不起
225 毽子上的鸡毛——钻进钱眼里了
226 猴子上圈套——任人摆布
227 按着葫芦画瓢——照样子做
228 老天爷拄拐杖——一竿子插到底
229 湿筷子夹芝麻——叨不着处沾两个
230 白开水泡雪——冷淡
231 西天出太阳——反常
232 猪猡出痘子——肉麻
233 门角里打拳——摆不开架势
234 蚂蚱碰上了鸡——小命玩完
235 脚踩棒槌——忽悠悠
236 蚂蚱吞老虎——贪心不足
237 毽子毛——尽在钱上站着
238 哑巴看失火——干急说不出
239 苦胆拌黄连——苦上加苦
240 武大郎坐天下——没人保驾
241 讲台上放花盆——摆设
242 金漆马桶——外面光彩，肚里臭不可闻
243 大炮仗掉进河里——没想
244 二姑娘的包袱——窝窝囊囊
245 套马杆子里的狼——跑不了
246 两个汤元下水——二冲二冲的
247 属长虫的——冬天离不开洞
248 朽木做梁柱——无用之材
249 灯心草做琴弦——不必费心
250 竹筒倒豆子——干脆利索
251 被窝里挤眉弄眼——自己糊弄自己
252 鞋帮子做帽檐——虽然高升，却有鞋味
253 吃了三天斋就想上西天——功底还浅
254 吊死鬼说媒——白饶一番舌
255 王八的屁股——龟脏
256 蚂蚁搬泰山——瞎逞能
257 天平上乱加码子——不公平
258 骑虎不能下背——进退两难
259 墙头上种白菜——难交
260 牛蹄窝的水——翻不起大浪
261 端起刀头上庵堂——自找没趣
262 龇牙咧嘴的大虫——笑面虎
263 扣在筛子底下的麻雀——只是扑楞没有法子
264 没眼的竹笛——难吹
265 螃蟹夹到鹭鸶脚——要脱不得脱
266 五月的苋菜——正在红中
267 老鼠上了老鼠夹——死到临头
268 小秃头上的虱子——明摆着
269 地球安把——没法提
270 泥菩萨落水——自身难保
271 蜂窝里挖蛋——不怕蜂刺
272 做梦娶媳妇——一场空欢喜
273 房檐的流水——上头的事
274 狐狸精捧笙——胡吹
275 狗戴嚼子——胡勒
276 稿子写到边——不够格
277 筷子搭桥——难过
278 屋檐下的大葱——根枯叶烂心不死
279 马蹄刀在瓢里切瓜——滴水不漏
280 戴着孝帽进灵棚——愣充近支儿
281 井底的蛤蟆被扔了一砖——闷腔了
282 光棍玲珑心——一点就透
283 伤口上撒盐——痛上加痛
284 娃娃鱼爬上树——左看右看不是人
285 刺刀顶帐篷——硬撑不得
286 三十晚上说皇历——没时间了
287 池塘里的鱼——没见过风浪
288 猪爪煮了一千滚——总是朝里弯
289 背筑里头摇锣鼓——乱响
290 短板搭桥——难到岸
291 船老大带徒弟——从何说起
292 蚂蚱蹦到油锅里——不想活
293 八字写了一撇——差一半
294 隔墙扔纱帽——官丢了
295 欠债不还——诬赖
296 脊背上背鼓——找着挨锤
297 打蛇不死——后患无穷
298 唱戏的开门——装模作样
299 瓦片子刮锅——呱呱叫
300 野猫借鸡公——有借无还
301 剁尾巴的猴儿——手舞足蹈
302 心头打锣鼓——响开了
303 属耗子的——老爱搬家
304 黄河里的水——难得清
305 财神爷甩袖子——镧子儿皆无
306 蜞蚂儿穿套裤——踢蹬不开
307 关帝庙里找美髯公——保你不扑空
308 睡觉不枕枕头——空头空脑
309 属狗的——哪里有屎往哪里奔
310 独木桥上耍大刀——进不保险退更悬
311 高射炮打蚊子——大材小用
312 出门戴口罩——嘴上一套
313 大老爷开恩——放了
314 哑巴吃炒豆——嘴上不说，心里有数
315 扎嘴葫芦——倒不出啥来
316 捡来的面粉做烧饼——没本净利
317 牛吃荆条——胡编
318 脚面砌锅——踢倒就走
319 鱼儿得水，鸟儿人林——自由自在
320 敲山震虎——瞎咋唬
321 拉上岸的破网——答答滴滴
322 半夜打雷心不惊——问心无愧
323 鸡蛋壳当发面盆——没多大发头
324 石头人——没有心肝
325 眉毛上安灯泡——明眼人
326 进了套的黄鼠狼——跑不了
327 棉花店失火——烧包
328 关上门打财神——害了自己
329 烂泥打土块——成不了坯子
330 葫芦搅马勺——瞎搅
331 用醋壶打酒——满不在壶
332 梦里当皇帝——快活一刻是一刻
333 兔子叫门——送肉吃
334 鼓楼上的小雀——耐惊耐怕
335 壁上的春牛——离不得
336 画上的大虾——看着眼馋，到不了嘴里
337 武大郎看飞机——眼界不高
338 一步一个脚印——脚踏实地
339 雷公躲进土地庙——天知道，地知道
340 河南到河北——两省
341 老虎屁股上抓痒痒——自取其祸
342 下了山的老虎——不如狗
343 骚狐狸见不得关二爷——邪不压正
344 屎壳郎撞玻璃窗——没门
345 老鼠拉车——没多大劲头
346 娃娃赶场——东张西望
347 《百家姓》不读头一个字——开口就说钱
348 油条泡茶——软瘫了
349 茅房里打躬——臭奉承
350 耍皮影子的——尽捉弄人
351 暴雨前的闪电——人发雷霆
352 屎壳郎打灯笼——找死
353 狗皮上南墙——太不像画
354 半夜敲钟——一鸣惊人
355 草鞋没样——边打边像
356 牛犊子上套——挨鞭子的日子到了
357 上山砍柴，过河脱鞋——到哪说哪
358 瞎子作揖——盲目崇拜
359 麻黄汤发汗——茅塞顿开
360 光肚娃娃仰天尿——流哪儿算哪儿
361 孙猴七十二变——神通广大
362 外甥打妗子——不讲究了
363 吃多了糊米酒——蒙了心
364 吃剩饭想点子——净出馊主意
365 三个老爷两顶轿——哪有你的份
366 瞎子吹蜡烛——胡吹一气
367 秃子充和尚——凑数
368 玻璃上放花盆——明摆着
369 扭着脖子想问题——净是歪理
370 聋佬送殡——懒听那支死人笛
371 大海捞针——难
372 问和尚借梳子——问错了对象
373 纸糊的板凳——做不得
374 麻雀鼓肚子——好大的气
375 穿梭子不带线——空来空往
376 大虫借猪——有借无还
377 敲锣紧跟打鼓的——想到一个点子上
378 两口子生气——没有隔夜的怨仇
379 和尚住山洞——没事
380 大粪车儿——走到哪儿臭到哪儿
381 脚踏烟锅巴——差火
382 鸡毛炒韭菜——乱七八糟
383 灯草拐棒儿——原主不定
384 苍蝇嘴巴狗鼻子——真灵
385 土杏仁伴黄瓜——苦上加苦
386 一根线儿上拴俩蚂蚱——你也甭飞，我也甭蹦
387 大年三十吃饺子——没有外人
388 房子塌了问瓦匠——蒙对门儿
389 吹风机出故障——坏了风气
390 猪八戒摆手儿——不伺猴
391 墙上栽菜——无园
392 刚从水沟里钻出的泥鳅——黑不溜秋
393 秃子打锣——汤汤汤
394 进了套的黄鼠狼——跑不了啦
395 庙里撞钟——精神
396 饿鬼抢斋——不辨香臭
397 刚备鞍的马驹——挨鞭子的日子到了
398 五州加一州——溜走
399 邻近打高墙——越近越远
400 屎壳郎打喷嚏——满嘴喷粪
401 蚂蚁掉进簸箕——横顺都是路
402 不倒翁照镜子——里外不够人样儿
403 破麻袋装着烂套子——不是好货
404 揣着明白——装糊涂
405 王母娘娘请客——聚精会神
406 拉痢打摆子——躲了一灾又一灾
407 翠屏山的潘老丈——不说还明白，说了更糊涂
408 阴沟里的狗尿苔——见不得阳光
409 小擀杖掉油缸——又奸又猾
410 对牛弹琴——白费劲
411 小碗吃饭——靠天
412 一部二十四史——不知从何说起
413 钢水倒进模子里——定型了
414 羊群遇恶狼——各散四方
415 死人脸上打一耳光——死不要脸
416 和尚下雨不打伞——光临
417 断了线的木偶——拉不动
418 新媳妇儿怀孕——暗喜
419 顶着石臼做戏——吃力不讨好
420 菜园不种菜——闲员
421 开水碗上的葱花——华而不实
422 老虎挂串珠——假装慈悲
423 迷失方向的帆船——随波逐流
424 喝完浆水上吊——糊涂死了
425 王母娘娘伸手——要风得风，要雨得雨
426 水兵的汗衫——道道多
427 买咸鱼放生——尽做冤枉事
428 壁头上画春牛——犁不得
429 老牛啃瓜——不抬头
430 孙猴子闹地府——勾他的生死簿
431 猫儿偷骨头——替狗帮忙
432 三八二十三——错打了算盘
433 猴子吃了蒜——挠着屁股转
434 发霉的花生——不是好人
435 才出壳的鸡子——嫩的很
436 油缸里的西瓜——又圆又滑
437 苦瓜攀苦藤——苦相连
438 叫花儿吃死蟹——只只是好
439 四大金刚的琵琶——用不着谈
440 当了衣服买酒喝——顾嘴不顾身
441 拿着谜语猜不出——执谜不悟
442 染房里的衣料——任人摆布
443 武大郎开店——比他高的不要
444 戴起眼镜喝滚茶——越发朦胧
445 茅坑里的大粪蛆——死里求生
446 别人嚼过的馍——没有香味儿
447 玲珑剔透的玻璃灯——一点就明
448 蚂蚁搬家蛇过道——明日必有大雨到
449 床底下打斧头——不碍上就碍下
450 背水作战——不留后路
451 大胖子走猴皮筋——软功夫
452 朽木桩子——一推便倒
453 挨揍打呼噜——装迷糊
454 沙漠里的水——点滴都可贵
455 河里仰泳——露出头来
456 两个和尚抢一碗粥——谁也吃不饱
457 桅杆顶上看人——把人看矮了
458 牛踏臭冬瓜——浑身冒坏水
459 西湖边搭草棚——大煞风景
460 森林里的一片树叶——有也不多，无也不少
461 张飞扔鸡毛——有劲难使
462 有骆驼不讲牛羊——光拣大的说
463 男僧寺对着女僧寺——没事儿也有事儿
464 红蓝铅笔——两头挨刀
465 城隍庙里的菩萨——连鬼都不怕
466 半空的云彩——变化多端
467 夹板中的肉——两头压
468 老虎打架——劝不得
469 娃娃贴对子——上下不分
470 一镢头挖了一口井——图名
471 小牛架大辕——光蹦得欢拉不上套
472 打墙的板子——翻上下
473 喝凉水落肚子疼——自找的
474 茅厕坑头长笋子——冲出屎来
475 甲鱼剖腹——心不死
476 车轮子没轴——转不开
477 井底里放糖——甜头大家尝
478 耗子嫁女——讲吃不讲穿
479 八仙桌上摆夜壶——不是个成就的家伙
480 脑门上抹香油——油头滑面
481 邮包掉水田——半信半疑
482 鳄鱼的眼泪——假
483 石碳上盖庙——渺小
484 洗脸盆里的毛巾——该挨人家的拧
485 黄连水泡苦楝子——苦透了心
486 狗喝凉水——耍舌头
487 黑瞎子装弥勒佛——面善人不善
488 水面上看影子——清高
489 按着葫芦浮起瓢——顾此失彼
490 属耗子的——放下爪儿就忘
491 火烧到房上还瞧唱本——沉得住气
492 叫化子做皇帝——快活一天是一天
493 蛇遭蝎子蜇——一个比一个毒
494 鸡子儿下山——滚蛋
495 鼻子里插大葱——装象
496 出水的英蓉——楚楚动人
497 古井里插竹竿——清水光棍
498 号嘴上贴封条——别吹
499 丰都城里唱大戏——鬼听
500 南天门种南瓜——难上难
501 吃饺子不吃馅——挑皮
502 大象的屁股——推不动
503 铁棒敲钟——灵锤锤
504 和尚枕着鸡蛋睡——以大压小
505 鲜鱼出了水——活蹦乱跳
506 打破了头，拿扇子扇——豁上了
507 袁世凯当皇上——好景不长
508 龙王爷放火——改了行
509 握着蒺藜死不丢——不怕扎手
510 蜻蜒撞着蜘蛛网——有翅难飞
511 树上捉鱼——搞错了方向
512 隔着玻璃亲嘴——挨不上
513 芭蕉杆做的桩——经不起三锤打
514 二更梆子打两下——没错
515 半夜下饭馆——有什么算什么
516 画上的猫——干瞪眼
517 二郎神缝破皮袄——神聊
518 破皮球缝帽子——不成器
519 驴子赶在磨道里——不愿转也得转
520 对着月亮攀谈——说空话
521 沙滩上起高楼——不得长久
522 二十八的月亮——连点影都没有
523 小庙的仙姑——供不得大香火
524 蜡烛脾气——不点不亮
525 风箱里的老鼠——两头受气
526 土地佬搬家——端神架
527 小花猫捋胡子——未老先衰
528 牛拉碾子——走不出圈去
529 君子之交——淡如水
530 猪鼻孔插大葱——装相
531 丈二厚的屋基——根底深
532 屠夫说猪，农夫说谷——三句话不离本行
533 眼睛生在头顶上——目空一切
534 望乡台上打莲花落——不知死的鬼
535 双头火杖——挤在一起
536 毽子毛——净在钱上站着
537 锅里煮扳不倒——熟人
538 黑瞎子按琴键——乱弹琴
539 老麻雀喂嫩麻雀——喂大一个飞走一个
540 闭眼睛放屁——瞎扯
541 三根缆绳拴两边——使偏劲
542 老虎头上撒胡椒——大胆泼辣
543 黄连水里泡竹笋——苦透了
544 在光头上钻眼——骗人
545 蟑螂落油锅——全身都酥了
546 属烂木头的——是个鸟就想来啄两口
547 城楼上的士兵——高手
548 披麻救火——惹焰烧身
549 壁画上的樱桃——中看不中吃
550 龙宫里造反——慌了神
551 辣椒共姜——辣对辣
552 新添马桶——三日香
553 知了落在树梢上——只会唱高调
554 瞎子打架——揪住不放
555 油篓里掷骰子——没跑
556 唐朝的话，到宋朝才说——过时了
557 城隍爷拉胡琴——鬼扯
558 豆地里吃西瓜——自找的
559 兔子拉车——乱了套
560 麻绳拴豆腐——别提
561 千年的铜器——老古董
562 女孩子打架——抓小辫子
563 船漏又遇顶头风——祸不单行
564 懂三也懂五——就是不懂事
565 脖子里挂块坯——牌子怪大，土气不小
566 失去金箍棒的孙悟空——没得耍了
567 一头撞在南墙上——死不回头
568 哑子尝黄柏——味苦自家知
569 沿着磨盘走路——没头没尾
570 娃娃谈天——说大话
571 隔黄河赶牛——鞭长莫及
572 粪叉上镶宝石——不值得
573 判官娶媳妇——鬼打扮
574 八十年不下雨——想他的好情儿
575 稻田里捉龟——十拿九稳
576 飞机打飞机——空对空
577 鼓槌敲到棉花胎上——没有回声
578 教师爷不打把式——谁也摸不清谁的底
579 枣核脑袋抹猪油——又尖又滑
580 独只筷子吃莲藕——专挑眼儿
581 鞭炮两头点——想到一块儿
582 瞪着眼睛咬着牙——怀恨在心
583 六月的天——变化无常
584 歪着枕头睡觉——想偏了心
585 肚子里长牙齿——心肝肠肺都又硬又狠
586 老牛赶山——走一丈算一丈
587 老公打扇——凄凉
588 山要崩拿绳索捆——白费功夫
589 麦芒掉进针眼里——巧上加巧
590 十五个盘子上菜——七荤八素
591 板上钉钉——没跑
592 老牛吧嗒嘴——有年限了
593 瓦罐里冒烟——土里土气
594 炸蠕斗公鸡——玩命
595 大年三十吃稀饭——没法过年
596 鱼戏莲叶间——自由自在
597 泥捏的老虎——唬人不咬人
598 从筛子底看人——看零碎了
599 断线的纸鸢——东游西荡
600 筛子做门——难遮众人的眼睛
601 背靠背睡觉——体贴人
602 胡子搓绳——虚套子
603 蛾蜉撼树——不自量
604 裹脚布——又臭又长
605 围着火炉吃冰糕——不知冷热
606 老生戴胡子——正办
607 檀香木当柴烧——不知好歹
608 胡蜂撞进了蜜蜂窝——不得安生
609 显道神撞见寿星老——你休说我长，我也休说你短
610 耗子洞里打架——窝里战
611 把状元关到门背后——埋没了人才
612 砂锅里炒豆子——往外蹦
613 娶媳妇儿打幡儿——热闹出了尖儿
614 看着查声肚子疼——哭笑不得
615 嫩牛拖耕犁——不打不跑
616 孙猴子的脸——日三变
617 扳不倒掉进酸菜缸——穷酸臭美乱逛荡
618 草袋换布袋——一代强似一代
619 服装店里的买卖——一套一套的
620 猫肚子放虎胆——凶不起来
621 百尺竿头拿大顶——没处落脚
622 吃江水，说海话——好大的口气
623 碓臼里放夜叉——捣鬼
624 养汉老婆穿裙子——假装正经人
625 小鬼面前告阎王——投错衙门
626 景德镇的瓷器——词好
627 蚂蚁进磨盘——条条是道
628 沙锅里爆豆儿——劈里啪啦
629 大虫打哈哈——笑面虎
630 撑船不用篙——任其自流
631 猫捉老鼠，狗看门——各尽其责
632 斧砍缆绳——一刀两断
633 猪八戒卖凉粉——人丑名堂多
634 秫秸秆做柱子——顶不住
635 猴儿拉稀——坏了肠子
636 踩着梯子摘星星——离天远
637 木头人过河——摸不着底
638 刘姥姥进大观园——看得出神了
639 烤烟了的饼子——放在碗里盘里都是一个味儿
640 菜园里的辘轳——任人摆布
641 五齿铁耙搔痒——硬手儿
642 八竿子打不着的亲戚——远着哩
643 屎壳郎爬在牛腿上——显在你什么地方
644 披麻袋上朝——难登大雅之堂
645 猴照镜子——得意忘形
646 光脏打铁——不敢偎边
647 捏鼻子吃葱——忍气吞声
648 蛋壳里作道场——摆不开架势
649 秤砣砸核桃——看他硬到几时
650 死鱼的眼睛——定了
651 海底的坑洼——摸不透
652 鹅伸脖子——等着挨刀
653 火烧牛皮——自转弯
654 兵来将挡，水来土掩——一物降一物
655 大鹏飞入网——只怕捕不住
656 大尾巴猴子——变死了也变不出个人来
657 头上撒虮子——自讨麻烦
658 石臼里放鸡蛋——稳稳当当
659 三十六计——走为上
660 十五面铜锣——七响八响
661 死娃灌米汤——没救了
662 山头放纸鸢——出手高
663 小胡同赶骆驼——直来直去
664 秀才屑到香炉里——知理不说理
665 螳臂挡车——自不量力
666 象棋上的老将——死也不敢出那个框框
667 长颈鹿脖子仙鹤腿——各有所长
668 失火挨板子——双倒霉
669 水上浮萍——任风吹荡
670 煮熟的鸭子飞上了天——怪事一桩
671 穿绸子吃粗糠——表面光
672 烧红的生铁——越打越硬
673 狗尿苔长在金銮殿上——生到好地方
674 小庙着火——慌神
675 硬柴节——难劈
676 铁砣掉井里——不懂
677 弄个头里虱搔搔——惹些事来
678 单口相声——都听你的
679 父子两个比巴掌——一个样
680 半篮子喜鹊——叫唤起来没完
681 猴子写字——瞎比划
682 刘备摔阿斗——收买人心
683 煤炭砌台阶——一抹黑
684 臭鸡蛋——不甩不行
685 鸡蛋里挑骨头——自找麻烦
686 打碎的镜子——合不到一块儿
687 老鳖咬人——死不改口
688 半路上出家——从头学起
689 癞蛤蟆碰见屎壳螂——谁也别说谁脏
690 贱陀螺——不打不得转
691 马拉车驾辕——不合套
692 啄木鸟翻筋斗——耍花丽屁股
693 孙猴子吃麦秸——难为猴哩
694 粪堆上的灵芝草——臭底子
695 老牛拉破车——慢慢来
696 缚在线上的蚂蚱——跑不了
697 木匠的锯子——嘴巴子尖
698 花头鸡——惹事多
699 鸭子出水——不湿羽毛
700 站药店里招手——往苦里引
701 老和尚的百衲衣——东拼西凑
702 蛇入竹筒——曲性犹在
703 小树掐尖——光出岔子
704 木匠拉线——睁一只眼闭一只眼
705 大年初一的爆竹——想得早
706 人死了才抓药——晚了
707 红眼耗子出油盆儿——吃里爬外
708 豆浆里的油条——软了
709 脑门生疖子——额外负担
710 外甥戴孝——没救
711 耗子钻灰堆——闭着眼混
712 鸭子死了——嘴巴硬
713 哑巴梦见妈——有苦难诉
714 盐渍河虾——有咸有芒
715 大力士绣花——心有余而力不足
716 刀尖上翻跟头——玩命的事
717 千年的野猪——老虎的食
718 金刚扫地——劳神
719 爱叫的鸟——不做窝
720 登着梯子说话——高攀
721 板上钉钉——跑不了
722 驼子跌跤——两头勿着
723 关公赴会——单刀直入
724 毒蛇打喷嚏——满嘴是毒
725 敲开的木鱼——合不拢嘴
726 隔着门缝儿瞧人——把人看扁
727 孔明加子龙——智勇双全
728 旱地里的螃蟹——横行不了多少日子
729 刘备借荆州——有去无还
730 丝绒穿豆腐——提都不要提
731 和尚进庙——无法入门
732 白骨精照镜子——里外不是人
733 皇帝出宫——前呼后拥
734 太公钓渭水——走老运
735 锅里煮扳不倒儿——熟人
736 作家的皮包——里面大有文章
737 毛驴穿大褂——假充大圣人
738 太岁头上动土——胆子大
739 弄堂里跑马——题难出
740 比着被子伸腿——量力而为
741 鸡蛋壳做线板——难缠
742 黄河里的石头——经过大风浪
743 马桶上长鹿角——四不像
744 船老大坐后艄——见风使舵
745 房顶上放风筝——起手高一层
746 满园的萝卜——个个想出头
747 上套的猴子——任人耍
748 南天门上搭戏台——唱高调
749 一根桩上拴俩驴——谁也跑不了
750 一个人拜把兄弟——你算老几
751 打了耳子的瓦罐——不能提
752 刘备借荆州——只借不还
753 棒槌打锣——响当当
754 皮球上戳了一刀——泄了气
755 脚底抹油——溜了
756 蝎子不咬——蜇就是了
757 车道沟里的泥鳅——翻不了大浪
758 请木匠补锅——用人不当
759 头上打灯笼——自亮点
760 黄牛落泥塘——越陷越深
761 狐狸找羊交朋友——不存好心
762 叫驴变成土蚂蚱——一辈不如一辈
763 刺猬掉在肉锅里——扎手的老浑球
764 镶满口金牙——开口就是黄的
765 六月天坐火炉——又热又熏
766 狗戴礼帽——假装文明人
767 阎王写文章——鬼话连篇
768 墙头上的鸽子——东张西望
769 瞎子磨刀——快了
770 一个半斤，一个八两——没两样
771 耗子爬秤钩——自己称自己
